source,destination,journey_date,airline,stops,seasonality,price
Bikaner,Chandigarh,2023-02-19,IndiGo,1,0,5293
Asansol,Kakinada,2023-11-03,AirAsia,1,1,6159
Dehradun,Meerut,2023-07-22,SpiceJet,1,0,6315
Udaipur,Tirunelveli,2021-02-27,SpiceJet,0,0,5629
Jalandhar,Thrissur,2024-07-23,AirAsia,0,0,6022
Jamnagar,Patna,2026-11-23,Air India,1,1,9928
Prayagraj,Jamnagar,2023-12-02,Vistara,2,1,8043
Kannur,Sangli,2022-10-03,Air India,1,0,8363
Dharwad,Indore,2021-07-29,SpiceJet,1,0,6101
Ambala,Sangli,2025-03-03,SpiceJet,0,0,4929
Siliguri,Nanded,2023-01-23,AirAsia,1,1,6138
Jodhpur,Gwalior,2022-06-16,Air India,1,1,9857
Srinagar,Nashik,2021-03-05,Air India,0,0,6733
Tirunelveli,Warangal,2026-09-30,Vistara,2,0,8643
Faridabad,Noida,2022-12-30,SpiceJet,1,1,8400
Panaji,Ludhiana,2026-01-09,AirAsia,1,1,9730
Salem,Thrissur,2022-07-17,Go First,0,0,6016
Palakkad,Imphal,2025-04-20,SpiceJet,1,0,6446
Ludhiana,Dharwad,2021-04-12,AirAsia,0,0,4640
Allahabad,Gaya,2021-08-15,Go First,0,0,5294
Kanpur,Pondicherry,2021-11-09,SpiceJet,1,1,6798
Palakkad,Amritsar,2022-11-07,Go First,0,1,5308
Hubli,Thiruvananthapuram,2024-01-02,AirAsia,1,1,7797
Thrissur,Chandigarh,2022-01-16,AirAsia,0,1,8372
Tirupati,Dehradun,2026-12-02,AirAsia,2,1,8559
Raipur,Hyderabad,2025-05-08,AirAsia,2,1,9780
Erode,Sangli,2024-10-31,SpiceJet,1,0,5465
Asansol,Tirunelveli,2022-06-27,Air India,0,1,8065
Bangalore,Delhi,2025-07-08,SpiceJet,2,0,7665
Nagpur,Bhopal,2025-02-12,Go First,0,0,5252
Vijayawada,Bhopal,2022-09-08,Air India,2,0,9969
Noida,Ratnagiri,2023-12-18,Vistara,0,1,7927
Tezpur,Palakkad,2024-12-18,Air India,1,1,8111
Rajahmundry,Vellore,2025-05-09,SpiceJet,1,1,6575
Delhi,Guntur,2026-09-01,Vistara,1,0,9602
Faridabad,Indore,2023-08-09,IndiGo,1,0,7712
Varanasi,Coimbatore,2026-04-19,Air India,0,0,9383
Ahmedabad,Dehradun,2022-09-05,SpiceJet,0,0,5216
Belgaum,Itanagar,2023-10-09,Vistara,1,0,6218
Salem,Jammu,2025-10-08,AirAsia,1,0,5547
Kanpur,Pondicherry,2022-04-19,Air India,2,0,6703
Kannur,Ratnagiri,2022-03-28,IndiGo,1,0,5110
Salem,Solapur,2022-11-15,Air India,1,1,8989
Thiruvananthapuram,Ratnagiri,2024-08-28,SpiceJet,1,0,4881
Vijayawada,Ujjain,2025-04-04,Go First,1,0,6157
Imphal,Dharwad,2024-08-23,Air India,0,0,5535
Ranchi,Thiruvananthapuram,2021-01-09,Vistara,2,1,8591
Patna,Tiruchirappalli,2024-02-21,IndiGo,1,0,5026
Bhubaneswar,Amritsar,2026-05-23,SpiceJet,2,1,8613
Guwahati,Ahmedabad,2022-02-07,SpiceJet,1,0,7087
Kolkata,Meerut,2022-08-04,AirAsia,1,0,5351
Quilon,Thiruvananthapuram,2025-12-28,Air India,2,1,11346
Jodhpur,Durgapur,2025-01-28,Air India,1,1,10810
Kollam,Jamnagar,2026-07-17,Air India,1,0,9432
Madurai,Amritsar,2023-02-17,IndiGo,1,0,6811
Vellore,Guwahati,2022-01-01,IndiGo,2,1,6769
Ujjain,Ludhiana,2025-03-24,AirAsia,1,0,5515
Bhavnagar,Rajkot,2024-02-07,Air India,0,0,6253
Ludhiana,Lucknow,2026-09-22,AirAsia,1,0,5872
Srinagar,Dhanbad,2024-06-01,Go First,1,1,6416
Kota,Srinagar,2025-10-15,Go First,1,0,5175
Rourkela,Thrissur,2024-09-24,SpiceJet,2,0,8053
Noida,Nagpur,2021-02-13,IndiGo,1,0,5390
Calicut,Dhanbad,2022-04-12,SpiceJet,0,0,6172
Belgaum,Calicut,2023-02-11,Go First,2,0,5952
Palakkad,Chennai,2026-06-27,AirAsia,1,1,6735
Coimbatore,Allahabad,2023-11-05,Go First,1,1,9407
Salem,Kollam,2022-07-26,SpiceJet,1,0,5096
Sangli,Indore,2023-03-04,Air India,0,0,7021
Dharwad,Panaji,2026-07-06,Vistara,1,0,8863
Asansol,Meerut,2023-01-04,AirAsia,2,1,8977
Belgaum,Visakhapatnam,2023-03-12,AirAsia,1,0,6701
Raipur,Nellore,2021-01-17,Go First,0,1,6405
Kakinada,Srinagar,2021-04-09,IndiGo,0,0,5196
Nagpur,Guntur,2026-02-10,Air India,2,0,11472
Thiruvananthapuram,Indore,2021-07-06,Vistara,2,0,8963
Tezpur,Varanasi,2023-05-15,Go First,0,1,6797
Durgapur,Bhopal,2025-01-05,SpiceJet,2,1,7250
Vadodara,Guntur,2023-04-12,Vistara,1,0,7242
Gorakhpur,Jabalpur,2024-10-22,IndiGo,1,0,6856
Kochi,Dharwad,2023-09-20,AirAsia,1,0,7588
Durgapur,Kollam,2024-01-17,IndiGo,1,1,7632
Rajkot,Madurai,2026-05-24,IndiGo,0,1,6329
Kurnool,Ranchi,2026-05-28,Go First,0,1,8390
Nellore,Tezpur,2021-06-05,Vistara,0,1,8976
Jabalpur,Gorakhpur,2025-10-20,SpiceJet,1,0,7497
Jamnagar,Vellore,2024-05-15,AirAsia,0,1,7806
Indore,Siliguri,2022-07-28,Vistara,1,0,7767
Erode,Panaji,2023-02-05,IndiGo,1,0,8112
Hubli,Ranchi,2025-08-31,IndiGo,1,0,5480
Tirunelveli,Bhopal,2024-03-16,Vistara,0,0,7118
Palakkad,Bikaner,2024-01-31,Vistara,1,1,9822
Vadodara,Lucknow,2024-09-10,Air India,1,0,9177
Jabalpur,Delhi,2022-03-05,AirAsia,0,0,4616
Mysore,Bhopal,2023-02-07,SpiceJet,1,0,5148
Nashik,Thrissur,2024-08-24,Go First,2,0,7315
Kakinada,Calicut,2024-06-17,AirAsia,1,1,7573
Madurai,Dehradun,2024-08-09,AirAsia,0,0,4301
Tezpur,Bhavnagar,2025-06-13,SpiceJet,2,1,10434
Indore,Kottayam,2023-07-10,AirAsia,1,0,5060
Guntur,Kollam,2021-11-29,IndiGo,1,1,5875
Kanpur,Raipur,2024-04-25,AirAsia,2,0,7888
Kurnool,Calicut,2022-09-13,SpiceJet,1,0,6929
Prayagraj,Ludhiana,2024-06-21,Air India,2,1,8794
Jaipur,Kollam,2022-02-05,AirAsia,0,0,3495
Amritsar,Ambala,2021-08-23,AirAsia,0,0,5248
Tirupati,Warangal,2026-01-19,Air India,2,1,10274
Varanasi,Udaipur,2024-05-26,SpiceJet,1,1,6760
Kurnool,Rajkot,2021-01-12,Air India,1,1,8658
Allahabad,Ratnagiri,2025-10-05,Air India,2,0,10852
Jammu,Quilon,2022-05-16,AirAsia,2,1,8880
Vadodara,Hyderabad,2021-03-12,IndiGo,2,0,7639
Durgapur,Ranchi,2026-12-15,Air India,1,1,8591
Rajkot,Kannur,2024-06-19,IndiGo,1,1,7945
Allahabad,Lucknow,2025-07-09,Vistara,1,0,6447
Gaya,Thrissur,2021-08-31,IndiGo,0,0,4752
Bangalore,Thiruvananthapuram,2022-05-25,AirAsia,0,1,5535
Amritsar,Durgapur,2023-10-14,Go First,0,0,4942
Tezpur,Delhi,2024-06-10,Vistara,2,1,12008
Jamshedpur,Quilon,2024-12-23,AirAsia,1,1,8663
Tezpur,Imphal,2025-06-09,Vistara,1,1,9697
Thiruvananthapuram,Jaipur,2026-12-11,AirAsia,0,1,9011
Dhanbad,Palakkad,2024-10-21,Vistara,1,0,8940
Agra,Calicut,2026-06-04,IndiGo,1,1,7891
Durgapur,Hyderabad,2025-05-30,AirAsia,0,1,8595
Patna,Pune,2026-08-15,Vistara,1,0,8450
Kanpur,Jalandhar,2021-12-26,Go First,0,1,4948
Coimbatore,Kollam,2023-12-29,Air India,1,1,8079
Asansol,Bhopal,2024-01-02,Air India,1,1,10412
Asansol,Ludhiana,2022-03-31,Vistara,1,0,7290
Solapur,Imphal,2026-09-19,Air India,0,0,8683
Palakkad,Thiruvananthapuram,2024-02-20,Go First,1,0,6137
Surat,Kota,2022-06-22,Vistara,2,1,9475
Bangalore,Jamshedpur,2023-08-11,Go First,1,0,6618
Tirunelveli,Gwalior,2021-10-06,AirAsia,0,0,4827
Hubli,Agra,2024-06-09,Air India,1,1,10526
Prayagraj,Kannur,2025-12-03,Air India,2,1,9844
Rourkela,Kollam,2025-08-30,Air India,1,0,9671
Kottayam,Madurai,2024-02-18,Go First,0,0,5821
Bikaner,Durgapur,2025-01-24,Air India,2,1,9678
Warangal,Coimbatore,2021-06-09,IndiGo,1,1,8762
Pondicherry,Prayagraj,2025-08-21,AirAsia,1,0,5927
Mumbai,Kottayam,2021-06-03,SpiceJet,2,1,6648
Mangalore,Guwahati,2024-10-27,Go First,1,0,7878
Tezpur,Tirunelveli,2022-11-05,Air India,2,1,11122
Raipur,Guntur,2025-06-20,Air India,1,1,10268
Guwahati,Jammu,2024-09-19,Vistara,1,0,8085
Udaipur,Jabalpur,2026-03-10,IndiGo,2,0,7459
Prayagraj,Raipur,2022-01-26,AirAsia,0,1,5603
Guwahati,Bhubaneswar,2021-03-21,IndiGo,0,0,3332
Siliguri,Kurnool,2021-06-16,Vistara,1,1,6914
Dehradun,Faridabad,2026-07-23,Air India,1,0,7992
Aurangabad,Hyderabad,2023-11-03,AirAsia,0,1,5105
Jhansi,Jamshedpur,2022-12-23,IndiGo,2,1,7416
Kanpur,Bhopal,2022-07-28,SpiceJet,2,0,7677
Allahabad,Noida,2021-09-27,IndiGo,2,0,5179
Nanded,Varanasi,2026-01-01,Vistara,0,1,10682
Thrissur,Tirunelveli,2022-07-06,AirAsia,2,0,4884
Mangalore,Dharwad,2024-11-22,Go First,1,1,8886
Kota,Nanded,2026-05-07,Air India,2,1,10407
Jamnagar,Palakkad,2026-06-07,AirAsia,0,1,9255
Mangalore,Jhansi,2026-07-26,Vistara,1,0,10094
Kochi,Mangalore,2024-04-21,AirAsia,2,0,6998
Palakkad,Jamshedpur,2023-11-28,Go First,1,1,8731
Vadodara,Quilon,2022-01-16,SpiceJet,0,1,6149
Warangal,Mumbai,2023-01-03,AirAsia,2,1,9138
Allahabad,Warangal,2021-03-03,Go First,0,0,4244
Gaya,Kota,2023-07-14,AirAsia,0,0,4861
Visakhapatnam,Ranchi,2021-12-04,Go First,0,1,5047
Sangli,Raipur,2026-06-18,Vistara,2,1,10946
Kollam,Gwalior,2025-04-04,Vistara,1,0,6701
Prayagraj,Meerut,2025-06-24,SpiceJet,2,1,8564
Ahmedabad,Jhansi,2021-05-29,SpiceJet,1,1,6015
Jaipur,Dhanbad,2024-01-04,AirAsia,1,1,5639
Madurai,Solapur,2021-01-02,Go First,0,1,6466
Imphal,Kanpur,2024-03-24,Vistara,1,0,8818
Guwahati,Rajahmundry,2023-07-12,Vistara,1,0,8342
Kurnool,Vijayawada,2022-06-06,Vistara,0,1,8402
Erode,Nashik,2023-05-04,AirAsia,0,1,7605
Durgapur,Nagpur,2023-11-05,SpiceJet,1,1,8666
Jamshedpur,Kolkata,2023-01-31,IndiGo,2,1,8018
Bhopal,Erode,2023-04-09,Go First,1,0,7615
Tirupati,Noida,2026-08-01,SpiceJet,0,0,4560
Prayagraj,Amritsar,2022-06-27,IndiGo,2,1,8797
Kottayam,Ujjain,2022-10-25,AirAsia,1,0,4725
Tiruchirappalli,Belgaum,2022-03-05,Vistara,1,0,7804
Thiruvananthapuram,Gorakhpur,2023-02-23,AirAsia,1,0,5575
Durgapur,Mysore,2022-02-10,IndiGo,1,0,4539
Tirupati,Jabalpur,2022-03-20,Air India,2,0,8439
Agra,Calicut,2023-01-20,Vistara,1,1,9582
Visakhapatnam,Gorakhpur,2023-10-20,AirAsia,2,0,7668
Mysore,Jammu,2024-01-02,Air India,1,1,7756
Aurangabad,Gwalior,2023-06-14,Go First,1,1,9584
Ahmedabad,Ratnagiri,2026-07-23,SpiceJet,0,0,6353
Pondicherry,Gorakhpur,2024-02-05,IndiGo,2,0,6612
Chandigarh,Hubli,2021-04-29,Go First,1,0,4976
Ambala,Guntur,2023-11-05,Go First,1,1,5638
Moradabad,Jamnagar,2021-09-10,AirAsia,2,0,6867
Guntur,Guwahati,2022-08-06,Go First,0,0,3355
Mangalore,Aurangabad,2021-08-25,SpiceJet,2,0,6773
Allahabad,Tiruchirappalli,2021-05-10,Vistara,0,1,8153
Srinagar,Dhanbad,2023-06-18,Air India,2,1,8916
Mumbai,Vadodara,2025-10-08,AirAsia,1,0,4723
Gorakhpur,Nanded,2023-09-03,SpiceJet,2,0,7342
Siliguri,Belgaum,2021-08-20,SpiceJet,1,0,6712
Varanasi,Bhavnagar,2025-11-14,SpiceJet,0,1,6070
Belgaum,Rajahmundry,2025-01-19,Air India,2,1,11188
Nashik,Ludhiana,2026-01-22,AirAsia,2,1,8880
Raipur,Agra,2021-12-28,AirAsia,1,1,6347
Kollam,Solapur,2025-03-16,SpiceJet,0,0,5857
Bangalore,Kakinada,2023-07-09,AirAsia,2,0,6689
Amritsar,Bhavnagar,2022-05-19,Vistara,0,1,9245
Tirunelveli,Patna,2021-08-12,Air India,1,0,5879
Meerut,Dharwad,2023-02-10,SpiceJet,1,0,8186
Agra,Durgapur,2021-01-20,Air India,0,1,7944
Tirupati,Vadodara,2022-09-20,Air India,1,0,8097
Patna,Asansol,2025-08-31,Go First,2,0,8193
Kannur,Kochi,2024-05-07,Go First,1,1,8660
Calicut,Nanded,2026-04-21,Go First,2,0,9266
Kottayam,Jaipur,2022-10-01,Go First,1,0,5857
Kollam,Jalandhar,2021-05-21,AirAsia,1,1,6828
Chandigarh,Nagpur,2024-06-16,SpiceJet,0,1,5850
Pondicherry,Shimla,2025-04-11,Go First,0,0,6104
Bikaner,Delhi,2021-11-27,SpiceJet,1,1,7944
Ahmedabad,Pondicherry,2021-06-18,IndiGo,1,1,5995
Amritsar,Nashik,2026-06-07,AirAsia,1,1,7085
Rourkela,Ahmedabad,2025-10-12,AirAsia,2,0,8656
Calicut,Jamnagar,2026-05-20,AirAsia,0,1,5923
Bhopal,Ludhiana,2025-08-09,Go First,0,0,6983
Vadodara,Visakhapatnam,2022-05-16,Vistara,2,1,8974
Faridabad,Amritsar,2026-09-30,Vistara,1,0,10891
Jammu,Dehradun,2023-01-30,Air India,1,1,7955
Ahmedabad,Siliguri,2024-12-01,IndiGo,2,1,8682
Udaipur,Mysore,2021-02-02,Vistara,2,0,9226
Palakkad,Aurangabad,2021-09-22,Air India,2,0,6954
Nanded,Ludhiana,2025-12-03,Go First,2,1,7465
Ujjain,Agra,2022-08-11,SpiceJet,2,0,7062
Pondicherry,Ahmedabad,2022-03-27,SpiceJet,2,0,7516
Moradabad,Chandigarh,2023-12-31,SpiceJet,2,1,6777
Thiruvananthapuram,Guwahati,2023-12-02,SpiceJet,0,1,5761
Gaya,Bhopal,2025-08-03,SpiceJet,1,0,5392
Chennai,Itanagar,2025-12-08,SpiceJet,1,1,10041
Dharwad,Belgaum,2023-11-18,SpiceJet,1,1,7465
Ludhiana,Siliguri,2022-07-15,Vistara,1,0,6700
Shimla,Kollam,2022-05-26,Go First,1,1,8190
Lucknow,Jamshedpur,2026-12-24,AirAsia,2,1,9323
Bangalore,Lucknow,2024-01-25,Go First,1,1,7814
Bhavnagar,Ratnagiri,2026-10-16,AirAsia,0,0,5151
Itanagar,Jhansi,2025-10-05,IndiGo,0,0,5652
Belgaum,Ahmedabad,2024-07-21,Go First,2,0,6423
Srinagar,Madurai,2023-01-09,Vistara,1,1,9862
Bhubaneswar,Siliguri,2026-12-12,IndiGo,2,1,8260
Ambala,Varanasi,2021-07-31,Go First,0,0,5838
Pune,Jabalpur,2026-09-21,IndiGo,1,0,7675
Indore,Nagpur,2023-10-23,Go First,2,0,6378
Allahabad,Warangal,2026-07-13,Air India,2,0,10977
Ambala,Ratnagiri,2021-07-07,AirAsia,0,0,3675
Agra,Coimbatore,2023-11-19,IndiGo,1,1,6573
Aurangabad,Noida,2021-12-20,IndiGo,1,1,6777
Vadodara,Moradabad,2021-10-21,AirAsia,0,0,4418
Nellore,Kakinada,2022-09-06,Vistara,0,0,6674
Amritsar,Bhopal,2025-08-23,Vistara,1,0,9705
Erode,Bhubaneswar,2021-08-08,IndiGo,0,0,3146
Vellore,Salem,2022-04-12,Air India,1,0,6304
Jhansi,Kurnool,2021-09-16,Vistara,1,0,7937
Vijayawada,Imphal,2023-10-11,Air India,2,0,8784
Dehradun,Aurangabad,2026-10-03,SpiceJet,1,0,7511
Agra,Durgapur,2024-11-06,Go First,2,1,9626
Rajahmundry,Thrissur,2025-11-20,Air India,1,1,9521
Jamnagar,Jammu,2024-05-16,Air India,2,1,11548
Rajahmundry,Coimbatore,2022-09-27,Vistara,1,0,6927
Jamshedpur,Faridabad,2023-04-29,AirAsia,2,0,7688
Gorakhpur,Surat,2025-08-18,Air India,0,0,5227
Kollam,Varanasi,2024-10-05,Go First,0,0,4136
Tezpur,Palakkad,2021-09-05,Air India,1,0,7540
Jabalpur,Kollam,2021-01-23,AirAsia,2,1,9008
Hyderabad,Dehradun,2021-10-07,Vistara,2,0,7400
Dhanbad,Hyderabad,2021-11-25,AirAsia,1,1,8063
Nagpur,Panaji,2024-02-01,AirAsia,2,0,8801
Surat,Indore,2026-12-26,Vistara,1,1,12455
Jamshedpur,Dharwad,2024-03-03,Air India,0,0,6899
Jammu,Kottayam,2023-03-19,SpiceJet,2,0,6510
Solapur,Imphal,2025-10-23,Go First,2,0,9106
Tirupati,Vijayawada,2022-05-31,Go First,2,1,8088
Pune,Moradabad,2022-12-02,Vistara,1,1,10375
Hyderabad,Bangalore,2024-12-08,Vistara,1,1,8045
Salem,Jamshedpur,2021-01-31,Vistara,0,1,7435
Visakhapatnam,Srinagar,2022-11-04,Vistara,0,1,9206
Jamnagar,Tirupati,2025-09-18,IndiGo,2,0,6353
Gwalior,Asansol,2025-04-19,Air India,2,0,10544
Vellore,Tiruchirappalli,2025-10-08,SpiceJet,1,0,6617
Mumbai,Panaji,2023-03-13,IndiGo,1,0,6556
Mangalore,Thrissur,2026-02-16,Go First,0,0,6536
Hubli,Jhansi,2025-12-09,AirAsia,1,1,8646
Bhubaneswar,Panaji,2022-01-14,Air India,2,1,10099
Durgapur,Coimbatore,2025-10-18,Vistara,1,0,9879
Kottayam,Thrissur,2025-07-30,IndiGo,0,0,5311
Gaya,Dharwad,2024-01-19,Air India,1,1,7907
Aurangabad,Shimla,2021-11-19,SpiceJet,1,1,6564
Tiruchirappalli,Mysore,2021-08-18,Go First,0,0,5961
Kottayam,Itanagar,2026-06-12,SpiceJet,1,1,9643
Jodhpur,Surat,2025-11-05,IndiGo,1,1,6174
Mumbai,Solapur,2023-04-02,Vistara,1,0,8087
Agra,Rajkot,2024-09-03,Air India,1,0,8082
Pune,Chennai,2025-11-09,Air India,0,1,9010
Vellore,Hyderabad,2026-12-18,AirAsia,2,1,8397
Udaipur,Lucknow,2025-07-17,SpiceJet,1,0,7564
Jhansi,Panaji,2024-07-24,IndiGo,0,0,3531
Ludhiana,Kolkata,2021-02-15,SpiceJet,0,0,6552
Durgapur,Kurnool,2026-04-27,Air India,0,0,6995
Amritsar,Calicut,2024-02-12,IndiGo,1,0,5564
Meerut,Srinagar,2022-09-15,Air India,1,0,7220
Faridabad,Sangli,2024-08-28,AirAsia,0,0,4641
Erode,Rourkela,2022-10-13,Go First,1,0,5854
Vijayawada,Noida,2024-12-24,Go First,2,1,9783
Guwahati,Rajahmundry,2025-08-05,AirAsia,0,0,3959
Surat,Mangalore,2025-09-30,Go First,2,0,6661
Rourkela,Patna,2023-08-18,Go First,1,0,8213
Kota,Dharwad,2022-08-19,AirAsia,2,0,7441
Visakhapatnam,Palakkad,2021-02-02,Vistara,1,0,6009
Ludhiana,Srinagar,2026-08-02,Vistara,2,0,8914
Mangalore,Indore,2025-10-03,Vistara,1,0,7431
Ratnagiri,Kannur,2023-04-07,IndiGo,0,0,4158
Hyderabad,Jabalpur,2022-12-14,Go First,0,1,7519
Prayagraj,Pune,2023-11-29,IndiGo,0,1,7601
Pune,Imphal,2023-08-09,Air India,0,0,6668
Imphal,Kottayam,2023-04-10,IndiGo,0,0,7301
Patna,Jabalpur,2024-04-06,SpiceJet,0,0,7326
Vijayawada,Lucknow,2024-07-07,Go First,1,0,4946
Ludhiana,Rajahmundry,2025-09-11,SpiceJet,1,0,6480
Lucknow,Vadodara,2024-04-09,Vistara,1,0,10047
Ranchi,Udaipur,2025-10-21,Air India,0,0,7903
Dehradun,Jalandhar,2021-11-02,AirAsia,2,1,7221
Surat,Ludhiana,2024-04-27,Vistara,0,0,7985
Jamnagar,Surat,2022-10-28,AirAsia,2,0,5583
Kanpur,Ratnagiri,2025-09-04,Air India,1,0,8618
Hubli,Madurai,2025-11-11,Air India,1,1,11833
Solapur,Raipur,2024-09-24,Air India,1,0,9186
Jodhpur,Asansol,2026-11-27,IndiGo,2,1,9738
Jabalpur,Kolkata,2025-07-27,Vistara,1,0,9056
Udaipur,Vellore,2022-11-11,AirAsia,1,1,6477
Nellore,Erode,2021-10-11,SpiceJet,2,0,5656
Bikaner,Vijayawada,2023-09-13,Air India,2,0,8422
Ambala,Moradabad,2026-04-27,SpiceJet,0,0,3397
Sangli,Dhanbad,2023-10-22,Go First,1,0,5897
Vijayawada,Jalandhar,2021-06-08,Go First,2,1,8202
Panaji,Guwahati,2026-03-06,Air India,1,0,8858
Coimbatore,Mumbai,2026-10-30,Air India,0,0,10020
Shimla,Itanagar,2024-04-12,SpiceJet,0,0,4639
Ludhiana,Tezpur,2023-03-15,SpiceJet,1,0,6955
Jabalpur,Hyderabad,2022-01-02,Vistara,0,1,7085
Rajkot,Panaji,2026-12-24,Go First,0,1,9136
Jamnagar,Palakkad,2025-09-07,SpiceJet,1,0,4695
Bikaner,Jammu,2024-01-11,AirAsia,1,1,8695
Kota,Kottayam,2023-01-16,IndiGo,2,1,9912
Pune,Warangal,2023-02-07,Go First,1,0,7757
Ujjain,Surat,2026-12-22,IndiGo,1,1,7884
Jodhpur,Calicut,2026-01-04,AirAsia,2,1,10369
Chennai,Bhavnagar,2024-10-22,IndiGo,0,0,7041
Meerut,Tirupati,2023-06-08,SpiceJet,1,1,8754
Jammu,Kolkata,2021-09-07,Vistara,1,0,6107
Lucknow,Meerut,2026-10-03,SpiceJet,0,0,7459
Faridabad,Bangalore,2026-07-07,SpiceJet,1,0,6600
Nellore,Guntur,2021-03-31,AirAsia,0,0,4844
Bhavnagar,Rajkot,2026-12-05,AirAsia,1,1,7527
Warangal,Thiruvananthapuram,2025-10-05,Vistara,1,0,9444
Nellore,Hyderabad,2024-08-07,Go First,2,0,5844
Vadodara,Shimla,2026-01-08,AirAsia,2,1,10391
Bhubaneswar,Pune,2026-12-20,AirAsia,0,1,6084
Guntur,Jhansi,2024-10-26,Vistara,0,0,4787
Ranchi,Chandigarh,2025-08-19,Go First,2,0,5943
Udaipur,Tirupati,2023-04-18,Go First,1,0,5654
Indore,Jabalpur,2025-01-21,IndiGo,1,1,7441
Ambala,Panaji,2022-08-27,Go First,1,0,5480
Rajkot,Coimbatore,2026-11-14,AirAsia,1,1,6667
Bhavnagar,Erode,2023-04-24,Air India,1,0,7284
Bikaner,Jodhpur,2023-12-09,IndiGo,2,1,7472
Jhansi,Patna,2023-01-09,Go First,1,1,6406
Nagpur,Raipur,2022-02-24,Go First,1,0,4341
Chandigarh,Thrissur,2024-09-12,Vistara,2,0,10409
Prayagraj,Kollam,2021-06-22,Go First,2,1,7364
Kollam,Asansol,2021-08-31,Go First,0,0,6051
Patna,Bareilly,2023-06-06,Vistara,2,1,11868
Allahabad,Jaipur,2021-04-13,Go First,1,0,4638
Ratnagiri,Lucknow,2022-03-25,IndiGo,1,0,4617
Amritsar,Bikaner,2026-09-23,SpiceJet,0,0,6704
Bikaner,Kochi,2025-08-05,Air India,1,0,8211
Kanpur,Kurnool,2026-11-19,Vistara,0,1,8778
Warangal,Udaipur,2026-02-15,Vistara,2,0,9066
Faridabad,Nashik,2026-02-15,Go First,1,0,7592
Kanpur,Lucknow,2025-05-02,Air India,1,1,9633
Jodhpur,Nellore,2026-01-06,Air India,1,1,8215
Nellore,Jamshedpur,2024-11-15,SpiceJet,1,1,6549
Salem,Tirupati,2024-04-16,Vistara,1,0,7899
Kota,Aurangabad,2026-07-31,IndiGo,1,0,5156
Panaji,Palakkad,2025-08-14,Go First,1,0,6249
Nashik,Shimla,2022-06-08,Go First,1,1,9025
Kakinada,Rourkela,2023-08-09,IndiGo,2,0,8324
Kolkata,Aurangabad,2025-12-13,Vistara,2,1,11938
Nashik,Rourkela,2025-12-02,Vistara,0,1,7884
Kota,Calicut,2024-08-22,IndiGo,0,0,7444
Sangli,Ujjain,2022-02-08,AirAsia,1,0,6800
Vijayawada,Quilon,2023-10-12,IndiGo,1,0,7274
Lucknow,Prayagraj,2025-12-23,Vistara,0,1,8858
Ambala,Jodhpur,2026-12-17,Vistara,1,1,11868
Ranchi,Rajkot,2026-03-09,SpiceJet,1,0,6143
Bangalore,Ludhiana,2026-06-23,Vistara,1,1,11896
Thiruvananthapuram,Kolkata,2026-08-12,AirAsia,1,0,9489
Nanded,Tezpur,2022-05-04,Air India,1,1,8031
Delhi,Belgaum,2026-07-03,SpiceJet,0,0,6752
Thrissur,Kannur,2023-07-18,IndiGo,1,0,7298
Srinagar,Hubli,2023-01-04,Air India,1,1,8031
Gaya,Guwahati,2023-09-16,Vistara,0,0,5772
Bareilly,Quilon,2026-03-08,IndiGo,1,0,8950
Jamnagar,Asansol,2021-11-13,Air India,1,1,7341
Ludhiana,Pondicherry,2024-10-30,IndiGo,0,0,7612
Itanagar,Aurangabad,2026-05-21,AirAsia,2,1,9004
Kannur,Rourkela,2025-04-09,Vistara,0,0,8291
Raipur,Nashik,2024-12-22,AirAsia,1,1,7251
Solapur,Jodhpur,2024-04-17,AirAsia,2,0,5413
Vijayawada,Gwalior,2024-09-09,SpiceJet,0,0,6884
Surat,Rourkela,2025-12-12,SpiceJet,0,1,7238
Vijayawada,Meerut,2025-12-18,Air India,1,1,8109
Mumbai,Moradabad,2021-12-02,Go First,1,1,5794
Dehradun,Kurnool,2022-11-24,Go First,2,1,7249
Dhanbad,Vijayawada,2023-08-08,Air India,1,0,8586
Mysore,Ludhiana,2026-07-28,IndiGo,1,0,5069
Visakhapatnam,Rourkela,2023-12-22,Vistara,2,1,9142
Ujjain,Jammu,2022-03-31,AirAsia,2,0,7239
Salem,Shimla,2024-01-02,Vistara,1,1,9784
Vellore,Tirupati,2021-05-01,SpiceJet,1,1,5304
Noida,Pondicherry,2022-04-27,AirAsia,1,0,7168
Asansol,Tiruchirappalli,2022-06-15,Air India,2,1,8737
Ujjain,Ambala,2026-06-06,SpiceJet,1,1,9648
Chandigarh,Lucknow,2025-12-08,IndiGo,1,1,9315
Kolkata,Nanded,2023-03-07,Go First,1,0,4878
Jammu,Ujjain,2022-09-25,AirAsia,1,0,7136
Lucknow,Hubli,2025-03-01,SpiceJet,2,0,7033
Sangli,Tezpur,2025-10-24,Go First,0,0,5597
Jaipur,Delhi,2025-04-10,Air India,0,0,8566
Durgapur,Jammu,2023-01-31,SpiceJet,1,1,6386
Nanded,Surat,2023-10-07,IndiGo,1,0,5914
Udaipur,Kanpur,2025-03-17,SpiceJet,2,0,9012
Jamshedpur,Noida,2021-03-23,IndiGo,1,0,7527
Raipur,Ludhiana,2024-02-15,Go First,1,0,5177
Tezpur,Prayagraj,2025-03-27,Go First,0,0,4401
